,title,studio,domestic_gross,foreign_gross,year,id,production_budget,profitability
794,ParaNorman,Focus,56000000.0,51100000.0,2012.0,89.0,60000000.0,47100000.0
806,What to Expect When You're Expecting,LGF,41200000.0,43200000.0,2012.0,86.0,37500000.0,46900000.0
821,Tyler Perry's Madea's Witness Protection,LGF,65700000.0,1200000.0,2012.0,14.0,20000000.0,46900000.0
1574,Selma,Par.,52100000.0,14700000.0,2014.0,25.0,20000000.0,46800000.0
1947,Black Mass,WB,62600000.0,37200000.0,2015.0,59.0,53000000.0,46800000.0
1561,Snowpiercer,RTWC,4600000.0,82200000.0,2014.0,27.0,40000000.0,46800000.0
1188,Walking with Dinosaurs,Fox,36100000.0,90500000.0,2013.0,93.0,80000000.0,46600000.0
1971,Krampus,Uni.,42700000.0,18800000.0,2015.0,28.0,15000000.0,46500000.0
1568,Think Like a Man Too,SGem,65200000.0,5000000.0,2014.0,36.0,24000000.0,46200000.0
2848,Underworld: Blood Wars,SGem,30400000.0,50700000.0,2017.0,91.0,35000000.0,46100000.0
1221,The Counselor,Fox,17000000.0,54000000.0,2013.0,58.0,25000000.0,46000000.0
2809,Valerian and the City of a Thousand Planets,STX,41200000.0,184700000.0,2017.0,90.0,180000000.0,45900000.0
1571,Son of God,Fox,59700000.0,8100000.0,2014.0,11.0,22000000.0,45800000.0
3144,First Man,Uni.,44900000.0,60800000.0,2018.0,6.0,60000000.0,45700000.0
1589,Whiplash,SPC,13100000.0,35900000.0,2014.0,43.0,3300000.0,45700000.0
1197,Gangster Squad,WB,46000000.0,59200000.0,2013.0,4.0,60000000.0,45200000.0
2852,Victoria and Abdul,Focus,22200000.0,43200000.0,2017.0,73.0,21000000.0,44400000.0
430,One Day,Focus,13800000.0,45500000.0,2011.0,84.0,15000000.0,44300000.0
2422,Mike and Dave Need Wedding Dates,Fox,46000000.0,31100000.0,2016.0,73.0,33000000.0,44100000.0
2377,The BFG,BV,55500000.0,127900000.0,2016.0,17.0,140000000.0,43400000.0
1995,The Gallows,WB (NL),22800000.0,20200000.0,2015.0,80.0,100000.0,42900000.0
2866,"I, Tonya",Neon,30000000.0,23900000.0,2017.0,83.0,11000000.0,42900000.0
2856,The Star,Sony,40900000.0,22000000.0,2017.0,39.0,20000000.0,42900000.0
1976,Sinister 2,Focus,27700000.0,25100000.0,2015.0,91.0,10000000.0,42800000.0
95,127 Hours,FoxS,18300000.0,42400000.0,2010.0,6.0,18000000.0,42700000.0
809,Frankenweenie,BV,35300000.0,46200000.0,2012.0,48.0,39000000.0,42500000.0
1973,The Perfect Guy,SGem,57000000.0,3200000.0,2015.0,78.0,18000000.0,42200000.0
3179,Teen Titans Go! To The Movies,WB,29800000.0,22300000.0,2018.0,84.0,10000000.0,42100000.0
422,Larry Crowne,Uni.,35600000.0,36400000.0,2011.0,25.0,30000000.0,42000000.0
1573,The Giver,Wein.,45100000.0,21900000.0,2014.0,2.0,25000000.0,42000000.0
1581,St. Vincent,Wein.,44100000.0,10700000.0,2014.0,61.0,13000000.0,41800000.0
3180,Slender Man,SGem,30600000.0,21200000.0,2018.0,80.0,10000000.0,41800000.0
2431,"Hail, Caesar!",Uni.,30500000.0,33100000.0,2016.0,22.0,22000000.0,41600000.0
1946,Joy,Fox,56500000.0,44700000.0,2015.0,88.0,60000000.0,41200000.0
3131,The Nutcracker and the Four Realms,BV,54900000.0,119100000.0,2018.0,35.0,132900000.0,41100000.0
1569,Brick Mansions,Rela.,20400000.0,48500000.0,2014.0,69.0,28000000.0,40900000.0
3164,Sicario: Day of the Soldado,Sony,50100000.0,25800000.0,2018.0,59.0,35000000.0,40900000.0
1592,Boyhood,IFC,25400000.0,19100000.0,2014.0,85.0,4000000.0,40500000.0
2429,Fences,Par.,57700000.0,6700000.0,2016.0,37.0,24000000.0,40400000.0
50,Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010.0,90.0,100000000.0,40100000.0
100,Remember Me,Sum.,19100000.0,37000000.0,2010.0,51.0,16000000.0,40100000.0
1915,Tomorrowland,BV,93400000.0,115700000.0,2015.0,23.0,170000000.0,39100000.0
1593,Oculus,Rela.,27700000.0,16300000.0,2014.0,72.0,5000000.0,39000000.0
1991,Still Alice,SPC,18800000.0,25100000.0,2015.0,92.0,5000000.0,38900000.0
1543,Pompeii,TriS,23200000.0,94600000.0,2014.0,97.0,80000000.0,37800000.0
90,The Next Three Days,LGF,21100000.0,46300000.0,2010.0,49.0,30000000.0,37400000.0
3187,The Possession of Hannah Grace,SGem,14800000.0,28200000.0,2018.0,37.0,6000000.0,37000000.0
85,Takers,SGem,57700000.0,11300000.0,2010.0,95.0,32000000.0,37000000.0
2450,The Witch,A24,25100000.0,15300000.0,2016.0,94.0,3500000.0,36900000.0
822,The Cabin in the Woods,LGF,42100000.0,24400000.0,2012.0,11.0,30000000.0,36500000.0
2416,War Dogs,WB,43000000.0,43200000.0,2016.0,45.0,50000000.0,36200000.0
843,Chernobyl Diaries,WB,18100000.0,19000000.0,2012.0,18.0,1000000.0,36100000.0
3163,Widows,Fox,42400000.0,33600000.0,2018.0,50.0,40000000.0,36000000.0
2877,Gifted,FoxS,24800000.0,18200000.0,2017.0,4.0,7000000.0,36000000.0
3173,Life of the Party,WB (NL),53100000.0,12800000.0,2018.0,88.0,30000000.0,35900000.0
102,The Crazies,Over.,39100000.0,15700000.0,2010.0,36.0,19000000.0,35800000.0
1964,The Age of Adaline,LGF,42600000.0,23000000.0,2015.0,8.0,30000000.0,35600000.0
1205,The Internship,Fox,44700000.0,48800000.0,2013.0,63.0,58000000.0,35500000.0
1997,The Lady in the Van,SPC,10000000.0,31400000.0,2015.0,47.0,6000000.0,35400000.0
1204,The Mortal Instruments: City of Bones,SGem,31200000.0,64200000.0,2013.0,26.0,60000000.0,35400000.0
2447,Blair Witch,LGF,20800000.0,24400000.0,2016.0,1.0,10000000.0,35200000.0
1240,21 and Over,Rela.,25700000.0,22400000.0,2013.0,70.0,13000000.0,35100000.0
420,The Lincoln Lawyer,LGF,58000000.0,17000000.0,2011.0,25.0,40000000.0,35000000.0
2436,Barbershop: The Next Cut,WB (NL),54000000.0,1000000.0,2016.0,22.0,20000000.0,35000000.0
1992,The DUFF,LGF,34000000.0,9500000.0,2015.0,33.0,8500000.0,35000000.0
1940,The Man From U.N.C.L.E.,WB,45400000.0,64400000.0,2015.0,55.0,75000000.0,34800000.0
1217,Escape From Planet Earth,Wein.,57000000.0,17600000.0,2013.0,28.0,40000000.0,34600000.0
71,Burlesque,SGem,39400000.0,50100000.0,2010.0,24.0,55000000.0,34500000.0
1563,The Judge,WB,47100000.0,37300000.0,2014.0,41.0,50000000.0,34400000.0
119,My Name is Khan,FoxS,4000000.0,38300000.0,2010.0,52.0,8470000.0,33830000.0
425,Hanna,Focus,40300000.0,23500000.0,2011.0,14.0,30000000.0,33800000.0
74,Marmaduke,Fox,33600000.0,50100000.0,2010.0,59.0,50000000.0,33700000.0
417,The Mechanic,CBS,29100000.0,47000000.0,2011.0,42.0,42500000.0,33600000.0
2000,The Lazarus Effect,Rela.,25800000.0,12600000.0,2015.0,76.0,5000000.0,33400000.0
